id	part	cd_type	cd_num_mounting_holes	cd_thickness_c	cd_material	cd_plating_coating	cd_inner_radius	cd_weight	cd_mounting_hole_dia_a	cd_diagram_	cd_hole_cl_distance_b
1	8-A-0190	19745	2	0.030	19739	20324	-99.000	NULL	0.358	1	2.298
2	8-A-0191	NULL	3	0.075	19738	20318	4.611	NULL	0.350	NULL	NULL
3	8-A-0196	NULL	1	0.024	19741	NULL	-99.000	NULL	0.196	NULL	NULL
4	8-A-0232	19745	2	0.036	19739	20311	-99.000	NULL	0.405	NULL	NULL
5	8-A-0233	19745	2	0.090	19740	20323	2.100	NULL	0.406	NULL	NULL
6	8-A-0234	19745	2	0.036	19739	20315	2.200	NULL	0.389	NULL	NULL
7	8-A-0241	19745	2	0.100	19743	20323	1.410	NULL	0.344	NULL	NULL
8	8-A-0242	19745	2	0.036	19737	20321	1.490	NULL	0.338	NULL	NULL
9	8-A-0245	19745	2	0.074	19738	20318	2.726	NULL	0.344	NULL	NULL
10	8-A-0252	19746	2	0.024	19743	20324	-99.000	NULL	0.274	NULL	NULL
11	8-A-0253	19747	2	0.075	19737	20323	2.310	NULL	0.341	NULL	NULL
12	8-A-0254	19747	2	0.024	19737	20315	2.600	NULL	0.344	NULL	NULL
13	8-A-0321	19747	2	0.075	19738	20317	3.280	NULL	0.343	NULL	NULL
14	8-A-0334	19747	2	0.085	19740	20323	2.308	NULL	0.344	NULL	NULL
15	8-A-0345	NULL	1	0.034	19737	20323	-99.000	NULL	0.264	NULL	NULL
16	8-A-0352	19747	3	0.075	19740	20323	2.895	NULL	0.344	NULL	NULL
17	8-A-0726	19746	1	0.035	19739	20311	NULL	NULL	0.325	NULL	NULL
18	8-A-0957	19745	3	0.118	19740	20318	1.111	NULL	0.340	NULL	NULL
19	8-A-1565	19745	4	0.118	19738	20323	1.458	NULL	0.339	NULL	NULL
20	8-B-0079	NULL	2	0.035	19742	20318	NULL	NULL	0.337	NULL	NULL
21	8-B-0103	NULL	2	0.040	19737	20315	2.190	NULL	0.342	NULL	NULL
22	8-B-0418	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
23	8-B-0795	NULL	2	0.031	19737	20320	2.343	NULL	0.344	NULL	NULL
24	8-B-5375	19745	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
25	8-B-5376	19747	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
26	8-B-5656	19745	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
27	8-B-5657	19745	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
28	8-C-1576	19745	2	0.094	19738	20319	1.540	NULL	0.343	NULL	NULL
29	8-D-1034	19747	2	0.088	19743	20324	2.000	15.4	0.260	NULL	NULL
30	8-D-1035	19745	2	0.117	19743	20311	1.149	19.0	0.281	NULL	NULL
31	8-D-1286	19745	2	0.100	19743	20324	1.999	19.0	0.258	NULL	NULL
32	8-D-1317	19747	2	0.100	19743	20324	2.379	15.1	0.270	NULL	NULL
33	8-D-1318	19745	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
34	8-D-1341	NULL	2	0.190	19743	20311	1.928	38.3	0.355	NULL	NULL
35	8-D-1346	NULL	2	0.100	19743	20324	3.624	15.1	0.265	NULL	NULL
36	8-D-1363	NULL	2	0.189	19743	20311	1.314	31.5	0.337	NULL	NULL
37	8-H-1343	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
38	8-H-1486	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
39	9-Z-9999	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
