id	part	cd_unison_ring_dia_a	cd_unison_ring_dia_a_tol	cd_outer_diameter_b	cd_outer_diameter_b_tol	cd_inner_diameter_c	cd_inner_diameter_c_tol	cd_num_vanes	cd_num_rollers	cd_special_features	cd_weight	cd_num_mounting_holes	cd_center_hole_passage_d	cd_rotation	cd_diagram_
1	9-A-4340	3.847	0.005	3.207	0.005	1.950	0.005	11	3	NULL	NULL	3	1.785	NULL	1
2	9-A-4341	3.850	0.005	3.208	0.005	1.950	0.005	11	3	NULL	NULL	3	1.784	NULL	1
3	9-A-4342	4.117	0.005	3.534	0.005	2.262	0.005	13	3	NULL	NULL	3	2.163	NULL	1
4	9-A-4343	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
5	9-A-4838	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
6	9-A-4839	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
7	9-A-4840	3.618	0.005	3.078	0.005	1.868	0.005	10	3	NULL	NULL	3	1.634	NULL	1
8	9-A-4849	3.846	0.005	3.208	0.005	1.950	0.005	11	3	NULL	NULL	3	1.787	NULL	1
9	9-A-4850	3.872	0.005	3.208	0.005	1.950	0.005	9	3	NULL	NULL	3	1.785	NULL	1
10	9-A-4851	3.880	0.005	3.216	0.005	1.947	0.005	9	3	NULL	NULL	3	1.790	NULL	1
11	9-A-4852	3.848	0.005	3.266	0.005	2.037	0.005	11	3	NULL	NULL	0	1.780	NULL	1
12	9-A-4853	4.220	0.005	3.532	0.005	2.260	0.005	12	3	NULL	NULL	3	2.160	NULL	1
13	9-A-4854	4.112	0.005	3.528	0.005	2.260	0.005	13	3	NULL	NULL	3	2.162	NULL	1
14	9-A-4855	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
15	9-A-5972	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
16	9-A-6104	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
17	9-D-4844	3.476	0.005	2.979	0.005	1.744	0.005	8	3	NULL	NULL	3	1.600	NULL	1
18	9-D-4847	3.259	0.005	3.112	0.005	1.735	0.005	8	6	NULL	NULL	0	1.395	NULL	1
19	9-D-4848	3.258	0.005	3.111	0.005	1.742	0.005	8	6	NULL	NULL	0	1.395	NULL	1
20	9-D-4856	3.258	0.005	3.111	0.005	1.742	0.005	8	6	NULL	NULL	0	1.500	NULL	1
21	9-E-4841	3.916	0.005	3.268	0.005	1.875	0.005	12	3	NULL	NULL	0	1.730	NULL	1
22	9-E-4842	3.912	0.005	3.262	0.005	1.875	0.005	12	4	NULL	NULL	0	1.733	NULL	1
23	9-E-4846	2.818	0.005	2.811	0.005	1.596	0.005	13	0	NULL	NULL	0	1.420	NULL	1
24	9-E-4858	3.855	0.005	3.371	0.005	2.088	0.005	12	4	NULL	NULL	0	1.872	NULL	1
25	9-E-4859	2.970	0.005	3.032	0.005	1.718	0.005	12	0	NULL	NULL	0	1.520	NULL	1
26	9-E-5370	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
27	9-F-4843	3.595	0.005	3.302	0.005	1.890	0.005	12	0	NULL	NULL	0	1.555	NULL	1
28	9-F-4845	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1
29	9-F-4857	3.593	0.005	3.306	0.005	1.790	0.005	12	0	NULL	NULL	0	1.614	NULL	1
30	9-Z-9999	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
