id	part	cd_type	cd_od	cd_od_tol	cd_id	cd_id_tol	cd_thickness	cd_thickness_tol	cd_material	cd_plating_coating	cd_weight	cd_diagram_
1	8-A-0134	21092	0.570	0.005	0.320	0.005	0.080	0.002	21079	20311	1.7	NULL
2	8-A-0154	21085	0.665	0.005	0.358	0.005	0.065	0.002	21080	20322	1.9	NULL
3	8-A-0244	21085	0.973	0.005	0.667	0.005	0.018	0.002	21080	20314	NULL	NULL
4	8-A-0729	21085	1.195	0.005	0.885	0.005	0.018	0.002	21080	20314	NULL	NULL
5	8-A-1526	21085	0.770	0.005	0.550	0.005	0.030	0.002	21080	NULL	NULL	NULL
6	8-A-1527	21085	0.597	0.005	0.399	0.005	0.016	0.002	21077	20311	NULL	NULL
7	8-A-2145	21087	0.475	NULL	0.215	0.005	0.090	0.002	21074	20322	NULL	NULL
8	8-A-2478	21087	0.552	0.005	0.250	0.005	0.070	0.002	21074	20322	NULL	NULL
9	8-A-3467	21085	0.630	0.005	0.261	0.005	0.120	0.002	21080	20314	NULL	NULL
10	8-A-5932	21085	0.395	0.005	0.198	0.005	0.011	0.002	21078	20311	NULL	NULL
11	8-A-6243	21084	0.630	0.005	0.490	0.005	0.060	0.002	21073	20311	NULL	NULL
12	8-A-6247	21084	0.543	0.005	0.406	0.005	0.055	0.002	21073	20311	NULL	NULL
13	8-A-6258	21084	0.708	0.005	0.485	0.005	0.060	0.002	21073	20311	NULL	NULL
14	8-B-0086	21093	0.430	0.005	0.262	0.005	0.070	0.002	21080	20325	NULL	NULL
15	8-B-0096	21093	0.537	0.005	0.330	0.005	0.080	0.002	21080	20325	NULL	NULL
16	8-B-0113	21093	0.550	0.005	0.255	0.005	0.087	0.002	21080	20325	NULL	NULL
17	8-B-0114	NULL	NULL	0.005	NULL	0.005	NULL	0.002	NULL	NULL	NULL	NULL
18	8-B-0521	21092	0.447	0.005	0.252	0.005	0.063	0.002	21080	20325	NULL	NULL
19	8-B-0790	21085	0.563	0.005	0.275	0.005	0.106	0.002	21080	20314	NULL	NULL
20	8-B-3792	21087	0.362	0.005	0.224	0.005	0.040	0.002	21080	20315	NULL	NULL
21	8-C-1230	21085	0.967	0.005	0.657	0.005	0.010	0.002	21080	NULL	NULL	NULL
22	8-C-1370	21092	0.470	0.005	0.328	0.005	0.073	0.002	21079	20311	NULL	NULL
23	8-C-1468	21085	0.700	0.005	0.423	0.005	0.015	0.002	21080	NULL	NULL	NULL
24	8-C-1731	21085	0.812	0.005	0.523	0.005	0.016	0.002	21080	20314	NULL	NULL
25	8-D-1118	21085	0.390	0.005	0.213	0.005	0.041	0.002	21080	20325	0.4	NULL
26	8-D-1320	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
27	8-D-1516	21085	0.426	0.005	0.256	0.005	0.062	0.002	21080	20314	0.6	NULL
28	8-D-2555	21085	0.709	0.005	0.567	0.005	0.051	0.002	21073	20311	NULL	NULL
29	8-D-2556	21085	0.450	0.005	0.333	0.005	0.040	0.002	21072	NULL	NULL	NULL
30	8-D-6095	NULL	NULL	0.005	NULL	0.005	NULL	0.002	NULL	NULL	NULL	NULL
31	8-D-6099	21084	0.718	0.005	0.483	0.005	0.036	0.002	21073	20311	1.1	NULL
32	8-E-4448	21084	0.665	0.005	0.480	0.005	0.059	0.002	21073	20311	1.1	NULL
33	8-H-1258	21085	0.625	0.005	0.254	0.005	0.060	0.002	21080	20315	NULL	NULL
34	8-J-0002	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
35	9-Z-9999	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
