id	enum_value	enum_text
741	BH_OilFeed	BH_OilFeed
742	BP_Matl	BP_Matl
743	CL_Matl	CL_Matl
744	CL_Typ	CL_Typ
745	Defl_Matl	Defl_Matl
746	Drive_Size	Drive_Size
747	Drive_Typ	Drive_Typ
748	Dyn_CS	Dyn_CS
749	Gas_Matl	Gas_Matl
750	Gas_Pass	Gas_Pass
751	Gas_Typ	Gas_Typ
752	Grade	Grade
753	Head_Typ	Head_Typ
754	HS_Matl	HS_Matl
755	JB_Bore	JB_Bore
756	JB_Ends	JB_Ends
757	JB_Fix	JB_Fix
758	JB_Matl	JB_Matl
759	JB_Size	JB_Size
760	JBS_OD	JBS_OD
761	JBS_Typ	JBS_Typ
762	Jnl_Typ	Jnl_Typ
763	Nut_Drv	Nut_Drv
764	Nut_PT_Typ	Nut_PT_Typ
765	Nut_Typ	Nut_Typ
766	OR_Dash	OR_Dash
767	OR_Matl	OR_Matl
768	OR_Xsec	OR_Xsec
769	Pin_Loc	Pin_Loc
770	Pin_Matl	Pin_Matl
771	Plat_Coat	Plat_Coat
772	PR_Matl	PR_Matl
773	PR_Typ	PR_Typ
774	Rot	Rot
775	RR_Matl	RR_Matl
776	RR_Sec	RR_Sec
777	RR_Typ1	RR_Typ1
778	RR_Typ2	RR_Typ2
779	RR_Typ3	RR_Typ3
780	SB_FB	SB_FB
781	SD_Typ	SD_Typ
782	Sprg_Typ	Sprg_Typ
783	TB_Matl	TB_Matl
784	TC_Matl	TC_Matl
785	Thd_Hand	Thd_Hand
786	Thd_Lock	Thd_Lock
787	Thread_Callout	Thread_Callout
788	VNT_Quad	VNT_Quad
789	Wshr_Matl	Wshr_Matl
790	Wshr_Typ	Wshr_Typ
